embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
BPN,001,4301,BPN,PK-GHH,JED,15062025,1225,15062025,2300,339
BPN,001,4401,JED,PK-GHH,KNO,16062025,0100,16062025,1010,339
BPN,001,4401,KNO,PK-GHH,BPN,16062025,1110,16062025,1440,339
BPN,002,4302,BPN,PK-GHH,JED,16062025,2300,17062025,0935,339
BPN,002,4402,JED,PK-GHH,KNO,17062025,1135,17062025,2045,339
BPN,002,4402,KNO,PK-GHH,BPN,17062025,2145,18062025,0115,339
BPN,003,4303,BPN,PK-GHH,JED,19062025,0155,19062025,1230,339
BPN,003,4403,JED,PK-GHH,KNO,19062025,1430,19062025,2340,339
BPN,003,4403,KNO,PK-GHH,BPN,20062025,0040,20062025,0410,339
BPN,004,4304,BPN,PK-GHH,JED,20062025,1755,21062025,0430,339
BPN,004,4404,JED,PK-GHH,KNO,21062025,0630,21062025,1540,339
BPN,004,4404,KNO,PK-GHH,BPN,21062025,1640,21062025,2010,339
BPN,005,4305,BPN,PK-GHH,JED,22062025,0510,22062025,1545,339
BPN,005,4405,JED,PK-GHH,KNO,22062025,1745,23062025,0255,339
BPN,005,4405,KNO,PK-GHH,BPN,23062025,0355,23062025,0725,339
BPN,006,4306,BPN,PK-GHH,JED,24062025,0015,24062025,1050,339
BPN,006,4406,JED,PK-GHH,KNO,24062025,1250,24062025,2200,339
BPN,006,4406,KNO,PK-GHH,BPN,24062025,2300,25062025,0230,339
BPN,007,4307,BPN,PK-GHH,MED,25062025,1245,25062025,2325,339
BPN,007,4407,MED,PK-GHH,HYD,26062025,0125,26062025,0705,339
BPN,007,4407,HYD,PK-GHH,BPN,26062025,0805,26062025,1505,339
BPN,008,4308,BPN,PK-GHH,MED,26062025,2110,27062025,0750,339
BPN,008,4408,MED,PK-GHH,HYD,27062025,0950,27062025,1530,339
BPN,008,4408,HYD,PK-GHH,BPN,27062025,1630,27062025,2330,339
BPN,009,4309,BPN,PK-GHH,MED,28062025,0755,28062025,1835,339
BPN,009,4409,MED,PK-GHH,HYD,28062025,2035,29062025,0215,339
BPN,009,4409,HYD,PK-GHH,BPN,29062025,0315,29062025,1015,339
BPN,010,4310,BPN,PK-GHH,MED,29062025,2020,30062025,0700,339
BPN,010,4410,MED,PK-GHH,HYD,30062025,0900,30062025,1440,339
BPN,010,4410,HYD,PK-GHH,BPN,30062025,1540,30062025,2240,339
BPN,011,4311,BPN,PK-GHH,MED,01072025,0800,01072025,1840,339
BPN,011,4411,MED,PK-GHH,HYD,01072025,2040,02072025,0220,339
BPN,011,4411,HYD,PK-GHH,BPN,02072025,0320,02072025,1020,339
BPN,012,4312,BPN,PK-GHH,MED,02072025,1650,03072025,0330,339
BPN,012,4412,MED,PK-GHH,HYD,03072025,0530,03072025,1110,339
BPN,012,4412,HYD,PK-GHH,BPN,03072025,1210,03072025,1910,339
BPN,013,4313,BPN,PK-GHH,MED,04072025,0035,04072025,1115,339
BPN,013,4413,MED,PK-GHH,HYD,04072025,1315,04072025,1855,339
BPN,013,4413,HYD,PK-GHH,BPN,04072025,1955,05072025,0255,339
BPN,014,4314,BPN,PK-GHH,MED,05072025,1220,05072025,2300,339
BPN,014,4414,MED,PK-GHH,HYD,06072025,0100,06072025,0640,339
BPN,014,4414,HYD,PK-GHH,BPN,06072025,0740,06072025,1440,339
BPN,015,4315,BPN,PK-GHH,MED,06072025,2200,07072025,0840,339
BPN,015,4415,MED,PK-GHH,HYD,07072025,1040,07072025,1620,339
BPN,015,4415,HYD,PK-GHH,BPN,07072025,1720,08072025,0020,339
BPN,016,4316,BPN,PK-GHH,MED,08072025,0520,08072025,1600,339
BPN,016,4416,MED,PK-GHH,HYD,08072025,1800,08072025,2340,339
BPN,016,4416,HYD,PK-GHH,BPN,09072025,0040,09072025,0740,339
