embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
MES,001,3301,MAD,EC-KCP,JED,11062025,1700,11062025,2300,333
MES,001,3401,JED,EC-KCP,KNO,12062025,0100,12062025,1035,333
MES,002,3302,KNO,EC-KCP,JED,12062025,1815,13062025,0300,333
MES,002,3402,JED,EC-KCP,KNO,13062025,0500,13062025,1435,333
MES,003,3303,KNO,EC-KCP,JED,13062025,2115,14062025,0600,333
MES,003,3403,JED,EC-KCP,KNO,14062025,0800,14062025,1735,333
MES,004,3304,KNO,EC-KCP,JED,15062025,0020,15062025,0905,333
MES,004,3404,JED,EC-KCP,KNO,15062025,1105,15062025,2040,333
MES,005,3305,KNO,EC-KCP,JED,16062025,0315,16062025,1200,333
MES,005,3405,JED,EC-KCP,KNO,16062025,1400,16062025,2335,333
MES,006,3306,KNO,EC-KCP,JED,17062025,0855,17062025,1740,333
MES,006,3406,JED,EC-KCP,KNO,17062025,1940,18062025,0515,333
MES,007,3307,KNO,EC-KCP,JED,18062025,2115,19062025,0600,333
MES,007,3407,JED,EC-KCP,KNO,19062025,0800,19062025,1735,333
MES,008,3308,KNO,EC-KCP,JED,20062025,0050,20062025,0935,333
MES,008,3408,JED,EC-KCP,KNO,20062025,1135,20062025,2110,333
MES,009,3309,KNO,EC-KCP,JED,21062025,0135,21062025,1020,333
MES,009,3409,JED,EC-KCP,KNO,21062025,1220,21062025,2155,333
MES,010,3310,KNO,EC-KCP,JED,22062025,0450,22062025,1335,333
MES,010,3410,JED,EC-KCP,KNO,22062025,1535,23062025,0110,333
MES,011,3311,KNO,EC-KCP,JED,23062025,1000,23062025,1845,333
MES,011,3411,JED,EC-KCP,KNO,23062025,2100,24062025,0635,333
MES,012,3312,KNO,EC-KCP,JED,24062025,1815,25062025,0300,333
MES,012,3412,JED,EC-KCP,KNO,25062025,0500,25062025,1435,333
MES,013,3313,KNO,EC-KCP,MED,25062025,2115,26062025,0545,333
MES,013,3413,MED,EC-KCP,AAN,26062025,0745,26062025,1035,333
MES,013,3413,AAN,EC-KCP,KNO,26062025,1135,26062025,1845,333
MES,014,3314,KNO,EC-KCP,MED,27062025,0630,27062025,1500,333
MES,014,3414,MED,EC-KCP,AAN,27062025,1700,27062025,1950,333
MES,014,3414,AAN,EC-KCP,KNO,27062025,2050,28062025,0400,333
MES,015,3315,KNO,EC-KCP,MED,28062025,1420,28062025,2250,333
MES,015,3415,MED,EC-KCP,AAN,29062025,0050,29062025,0340,333
MES,015,3415,AAN,EC-KCP,KNO,29062025,0440,29062025,1150,333
MES,016,3316,KNO,EC-KCP,MED,29062025,1640,30062025,0110,333
MES,016,3416,MED,EC-KCP,AAN,30062025,0310,30062025,0600,333
MES,016,3416,AAN,EC-KCP,KNO,30062025,0700,30062025,1410,333
MES,017,3317,KNO,EC-KCP,MED,30062025,2230,01072025,0700,333
MES,017,3417,MED,EC-KCP,AAN,01072025,0900,01072025,1150,333
MES,017,3417,AAN,EC-KCP,KNO,01072025,1250,01072025,2000,333
MES,018,3318,KNO,EC-KCP,MED,02072025,0130,02072025,1000,333
MES,018,3418,MED,EC-KCP,AAN,02072025,1200,02072025,1450,333
MES,018,3418,AAN,EC-KCP,KNO,02072025,1550,02072025,2300,333
MES,019,3319,KNO,EC-KCP,MED,03072025,0805,03072025,1635,333
MES,019,3419,MED,EC-KCP,AAN,03072025,1835,03072025,2125,333
MES,019,3419,AAN,EC-KCP,KNO,03072025,2225,04072025,0535,333
MES,020,3320,KNO,EC-KCP,MED,04072025,1445,04072025,2315,333
MES,020,3420,MED,EC-KCP,AAN,05072025,0115,05072025,0405,333
MES,020,3420,AAN,EC-KCP,KNO,05072025,0505,05072025,1215,333
MES,021,3321,KNO,EC-KCP,MED,05072025,1930,06072025,0400,333
MES,021,3421,MED,EC-KCP,AAN,06072025,0600,06072025,0850,333
MES,021,3421,AAN,EC-KCP,KNO,06072025,0950,06072025,1700,333
MES,022,3322,KNO,EC-KCP,MED,06072025,2210,07072025,0640,333
MES,022,3422,MED,EC-KCP,AAN,07072025,0840,07072025,1130,333
MES,022,3422,AAN,EC-KCP,KNO,07072025,1230,07072025,1940,333
MES,023,3323,KNO,EC-KCP,MED,08072025,0030,08072025,0900,333
MES,023,3423,MED,EC-KCP,AAN,08072025,1100,08072025,1350,333
MES,023,3423,AAN,EC-KCP,KNO,08072025,1450,08072025,2200,333
MES,024,3324,KNO,EC-KCP,MED,09072025,0505,09072025,1335,333
MES,024,3424,MED,EC-KCP,AAN,09072025,1535,09072025,1825,333
MES,024,3424,AAN,EC-KCP,KNO,09072025,1925,10072025,0235,333
