embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
SOC,073,6473,HYD,PK-GHI,SOC,26062026,0005,26062026,0625,333
SOC,074,6374,SOC,PK-GHI,MED,25062026,1330,25062026,0000,333
SOC,074,6474,MED,PK-GHI,HYD,26062026,0200,26062026,0745,333
SOC,074,6474,HYD,PK-GHI,SOC,26062026,0845,26062026,1505,333
SOC,075,6375,SOC,PK-GHI,MED,25062026,1930,26062026,0600,33L
SOC,075,6475,MED,PK-GHI,HYD,26062026,0800,26062026,1345,33L
SOC,075,6475,HYD,PK-GHI,SOC,26062026,1445,26062026,2105,33L
SOC,076,6376,SOC,PK-GHI,MED,26062026,0330,26062026,1400,33H
SOC,076,6476,MED,PK-GHI,HYD,26062026,1600,26062026,2145,33H
SOC,076,6476,HYD,PK-GHI,SOC,26062026,2245,27062026,0505,33H
SOC,077,6377,SOC,PK-GHI,MED,26062026,1250,26062026,2300,333
SOC,077,6477,MED,PK-GHI,HYD,27062026,0100,27062026,0635,333
SOC,077,6477,HYD,PK-GHI,SOC,27062026,0735,27062026,1350,333
SOC,078,6378,SOC,PK-GHI,MED,26062026,1630,27062026,0300,333
SOC,078,6478,MED,PK-GHI,HYD,27062026,0500,27062026,1045,333
SOC,078,6478,HYD,PK-GHI,SOC,27062026,1145,27062026,1805,333
SOC,079,6379,SOC,PK-GHI,MED,27062026,0030,27062026,1100,333
SOC,079,6479,MED,PK-GHI,HYD,27062026,1300,27062026,1845,333
SOC,079,6479,HYD,PK-GHI,SOC,27062026,1945,28062026,0205,333
SOC,080,6380,SOC,PK-GHI,MED,27062026,2230,28062026,0900,33H
SOC,080,6480,MED,PK-GHI,HYD,28062026,1100,28062026,1645,33H
SOC,080,6480,HYD,PK-GHI,SOC,28062026,1745,29062026,0005,33H
XXX,080,9999,0,PK-GHI,0,30121899,0000,30121899,0000,0
