embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
BTJ,001,2101,BTJ,PK-GIH,JED,18052025,0025,18052025,0830,773
BTJ,001,2201,JED,PK-GIH,BTJ,18052025,1000,18052025,1830,773
BTJ,002,2102,BTJ,PK-GIH,JED,19052025,0225,19052025,1030,773
BTJ,002,2202,JED,PK-GIH,BTJ,19052025,1200,19052025,2030,773
BTJ,003,2103,BTJ,PK-GIH,JED,20052025,0635,20052025,1440,773
BTJ,003,2203,JED,PK-GIH,BTJ,20052025,1640,21052025,0110,773
BTJ,004,2104,BTJ,PK-GIH,JED,21052025,1040,21052025,1845,773
BTJ,004,2204,JED,PK-GIH,BTJ,21052025,2100,22052025,0530,773
BTJ,005,2105,BTJ,PK-GIH,JED,22052025,1140,22052025,1945,773
BTJ,005,2205,JED,PK-GIH,BTJ,22052025,2115,23052025,0545,773
BTJ,006,2106,BTJ,PK-GIH,JED,23052025,1055,23052025,1900,773
BTJ,006,2206,JED,PK-GIH,BTJ,23052025,2030,24052025,0500,773
BTJ,007,2107,BTJ,PK-GIH,JED,24052025,1240,24052025,2045,773
BTJ,007,2207,JED,PK-GIH,BTJ,24052025,2215,25052025,0645,773
BTJ,008,2108,BTJ,PK-GIH,JED,25052025,1255,25052025,2100,773
BTJ,008,2208,JED,PK-GIH,BTJ,25052025,2230,26052025,0700,773
BTJ,009,2109,BTJ,PK-GIH,JED,26052025,1425,26052025,2230,773
BTJ,009,2209,JED,PK-GIH,BTJ,27052025,0000,27052025,0830,773
BTJ,010,2110,BTJ,PK-GIH,JED,27052025,1655,28052025,0100,773
BTJ,010,2210,JED,PK-GIH,BTJ,28052025,0230,28052025,1100,773
BTJ,011,2111,BTJ,PK-GIH,JED,28052025,2055,29052025,0500,773
BTJ,011,2211,JED,PK-GIH,BTJ,29052025,0630,29052025,1500,773
BTJ,012,2112,BTJ,PK-GIH,JED,30052025,0155,30052025,1000,773
BTJ,012,2212,JED,PK-GIH,CGK,30052025,1130,30052025,2210,773
